Property_Title,Furnishing_Status,Area,Price
 Showroom for Sale in Avinashi Road,Furnished,8000 sqft,₹4.25 Cr
 Shop for Sale in Gandhipuram,Furnished,"22,000 sqft",₹26 Cr
 Showroom for Sale in pollachi,Unfurnished,2000 sqft,₹1.10 Cr
 Shop for Sale in Athipalayam,Furnished,3100 sqft,₹60 Lac
 Shop for Sale in Pazhamudhir nilayam,Furnished,360 sqft,₹2.5 Lac
 Showroom for Sale in Kanuvai palayam pirivu,Unfurnished,3500 sqft,₹1.10 Cr
 Showroom for Sale in pollachi,Furnished,4800 sqft,₹3.60 Cr
 Shop for Sale in Chinthamanipudur,Unfurnished,1500 sqft,₹75 Lac
 Showroom for Sale in Ganapathy,Unfurnished,2050 sqft,₹1.75 Cr
 Shop for Sale in Koundampalayam,Unfurnished,100 sqft,₹3.50 Cr
 Showroom for Sale in Gandhipuram,Contact Owner,3000 sqft,₹20 Cr
 Shop for Sale in Gandhipuram,Unfurnished,5000 sqft,₹4 Cr
 Shop for Sale in Gandhipuram,Unfurnished,2000 sqft,₹5 Cr
 Shop for Sale in Veerapandi Pirivu,Furnished,150 sqft,₹60 Lac
 Shop for Sale in Vadavalli,Furnished,850 sqft,₹11 Lac
 Shop for Sale in Papanaickenpalayam,Furnished,4000 sqft,₹3.15 Cr
 Shop for Sale in Bodipalyam,Furnished,900 sqft,₹24 Lac
 Shop for Sale in Bharathiyar Road,Furnished,13 cent,₹4.55 Cr
 Shop for Sale in Ramanathapuram,Unfurnished,350 sqft,₹20 Lac
 Shop for Sale in Ram Nagar,Furnished,625 sqft,₹90 Lac
 Shop for Sale in Gandhipuram,Unfurnished,2000 sqft,₹1.75 Cr
 Shop for Sale in Avinashi Road,Furnished,330 sqft,₹28 Lac
 Shop for Sale in R.S. Puram,Furnished,128 sqft,₹7 Lac
 Shop for Sale in Vedapatti,Unfurnished,"12,500 sqft",Call for Price
 Shop for Sale in Grey Town,Unfurnished,11 cent,Call for Price
 Showroom for Sale in Trichy Road,Unfurnished,"16,000 sqft",Call for Price
 Shop for Sale in Vellalore,Unfurnished,Ground,Call for Price
 Shop for Sale in Periyar Nagar,Unfurnished,496 sqft,Call for Price
 Shop for Sale in Sidhapudur,Unfurnished,500 sqft,Call for Price
 Shop for Sale in Thoppampatti Pirivu,Furnished,1000 sqft,Call for Price
